n,x,y,radius
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000278e-02,1.001249219725039330e+00
2.000000000000000000e+00,9.975000000000000533e-01,-1.000000000000000056e-01,1.002499999999999947e+00
3.000000000000000000e+00,9.925000000000000488e-01,-1.498750000000000082e-01,1.003752342774351769e+00
4.000000000000000000e+00,9.850062500000000831e-01,-1.995000000000000107e-01,1.005006250000000101e+00
5.000000000000000000e+00,9.750312500000001270e-01,-2.487503125000000148e-01,1.006261723631287852e+00
6.000000000000000000e+00,9.625937343750001762e-01,-2.975018750000000267e-01,1.007518765625000201e+00
7.000000000000000000e+00,9.477186406250002193e-01,-3.456315617187500355e-01,1.008777377940366149e+00
8.000000000000000000e+00,9.304370625390626648e-01,-3.930174937500000576e-01,1.010037562539062739e+00
9.000000000000000000e+00,9.107861878515626231e-01,-4.395393468769531742e-01,1.011299321385217054e+00
1.000000000000000000e+01,8.888092205077149366e-01,-4.850786562695312831e-01,1.012562656445410214e+00
1.100000000000000000e+01,8.645552876942383946e-01,-5.295191172949170744e-01,1.013827569688680041e+00
1.200000000000000000e+01,8.380793318294925687e-01,-5.727468816796289497e-01,1.015094063086523724e+00
1.300000000000000000e+01,8.094419877455111267e-01,-6.146508482711036114e-01,1.016362138612901811e+00
1.400000000000000000e+01,7.787094453319559628e-01,-6.551229476583791955e-01,1.017631798244240215e+00
1.500000000000000000e+01,7.459532979490369753e-01,-6.940584199249769659e-01,1.018903043959434207e+00
1.600000000000000000e+01,7.112503769527881436e-01,-7.313560848224288646e-01,1.020175877739850856e+00
1.700000000000000000e+01,6.746825727116666505e-01,-7.669186036700682552e-01,1.021450301569332586e+00
1.800000000000000000e+01,6.363366425281632432e-01,-8.006527323056515932e-01,1.022726317434200283e+00
1.900000000000000000e+01,5.963040059128806858e-01,-8.324695644320597721e-01,1.024003927323255958e+00
2.000000000000000000e+01,5.546805276912777360e-01,-8.622847647277037675e-01,1.025283133227785859e+00
2.100000000000000000e+01,5.115662894548925754e-01,-8.900187911122676709e-01,1.026563937141564242e+00
2.200000000000000000e+01,4.670653498992791697e-01,-9.155971055850122831e-01,1.027846341060855373e+00
2.300000000000000000e+01,4.212854946200285666e-01,-9.389503730799761971e-01,1.029130346984417965e+00
2.400000000000000000e+01,3.743379759660297457e-01,-9.600146478109776726e-01,1.030415956913507625e+00
2.500000000000000000e+01,3.263372435754808842e-01,-9.787315466092791905e-01,1.031703172851879069e+00
2.600000000000000000e+01,2.774006662450169136e-01,-9.950484087880532291e-01,1.032991996805791235e+00
2.700000000000000000e+01,2.276482458056142411e-01,-1.008918442100304125e+00,1.034282430784008833e+00
2.800000000000000000e+01,1.772023237005990182e-01,-1.020300854390584933e+00,1.035574476797805898e+00
2.900000000000000000e+01,1.261872809810697660e-01,-1.029160970575614842e+00,1.036868136860968903e+00
3.000000000000000000e+01,7.472923245228901834e-02,-1.035470334624668309e+00,1.038163412989800305e+00
3.100000000000000000e+01,2.295571572105559871e-02,-1.039206796247282849e+00,1.039460307203121436e+00
3.200000000000000000e+01,-2.900462409130854374e-02,-1.040354582033335529e+00,1.040758821522274724e+00
3.300000000000000000e+01,-8.102235319297532157e-02,-1.038904350828770085e+00,1.042058957971129241e+00
3.400000000000000000e+01,-1.329675707344138424e-01,-1.034853233169121367e+00,1.043360718576080703e+00
3.500000000000000000e+01,-1.847102323928699052e-01,-1.028204854632400744e+00,1.044664105366057028e+00
3.600000000000000000e+01,-2.361204751244899425e-01,-1.018969343012757323e+00,1.045969120372520988e+00
3.700000000000000000e+01,-2.870689422751278030e-01,-1.007163319256532796e+00,1.047275765629472222e+00
3.800000000000000000e+01,-3.374271082379544651e-01,-9.928098721427763840e-01,1.048584043173452107e+00
