n,x,y,radius
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000278e-02,1.001249219725039330e+00
2.000000000000000000e+00,9.975000000000000533e-01,-9.987500000000000544e-02,1.002487538887641305e+00
3.000000000000000000e+00,9.925062500000000343e-01,-1.495003125000000099e-01,1.003702645073061506e+00
4.000000000000000000e+00,9.850312343750000643e-01,-1.987518742187500131e-01,1.004882500693390579e+00
5.000000000000000000e+00,9.750936406640625664e-01,-2.475065562519531415e-01,1.006015458852992595e+00
6.000000000000000000e+00,9.627183128514649191e-01,-2.956424718945264152e-01,1.007090373843120945e+00
7.000000000000000000e+00,9.479361892567386150e-01,-3.430392813573633348e-01,1.008096705409140537e+00
8.000000000000000000e+00,9.307842251888704954e-01,-3.895784926168068818e-01,1.009024616037700772e+00
9.000000000000000000e+00,9.113053005580301624e-01,-4.351437576447083622e-01,1.009865060610732446e+00
1.000000000000000000e+01,8.895481126757946999e-01,-4.796211632784981305e-01,1.010609867866768985e+00
1.100000000000000000e+01,8.655670545118697712e-01,-5.228995160040916801e-01,1.011251813196726745e+00
1.200000000000000000e+01,8.394220787116651872e-01,-5.648706199396749117e-01,1.011784682380419076e+00
1.300000000000000000e+01,8.111785477146814527e-01,-6.054295473254089899e-01,1.012203325941556820e+00
1.400000000000000000e+01,7.809070703484110032e-01,-6.444749008428295456e-01,1.012503703863108395e+00
1.500000000000000000e+01,7.486833253062695759e-01,-6.819090671081430299e-01,1.012682920462249836e+00
1.600000000000000000e+01,7.145878719508623744e-01,-7.176384607056861542e-01,1.012739249275591558e+00
1.700000000000000000e+01,6.787059489155781167e-01,-7.515737581514650989e-01,1.012672147852063942e+00
1.800000000000000000e+01,6.411272610080048784e-01,-7.836301212018653706e-01,1.012482262394001964e+00
1.900000000000000000e+01,6.019457549479115821e-01,-8.137274089492609885e-01,1.012171422228018036e+00
2.000000000000000000e+01,5.612593845004485438e-01,-8.417903781742833713e-01,1.011742624127611512e+00
2.100000000000000000e+01,5.191698655917343919e-01,-8.677488714538701409e-01,1.011200006550635244e+00
2.200000000000000000e+01,4.757824220190408626e-01,-8.915379925548221340e-01,1.010548813898164422e+00
2.300000000000000000e+01,4.312055223912997226e-01,-9.130982686743871479e-01,1.009795350948357706e+00
2.400000000000000000e+01,3.855506089575803652e-01,-9.323757991222662023e-01,1.008946927670848925e+00
2.500000000000000000e+01,3.389318190014670718e-01,-9.493223900723395392e-01,1.008011794685113038e+00
2.600000000000000000e+01,2.914656994978500615e-01,-9.638956750472320589e-01,1.006999069690995396e+00
2.700000000000000000e+01,2.432709157454884530e-01,-9.760592208345064691e-01,1.005918655271743400e+00
2.800000000000000000e+01,1.944679547037631295e-01,-9.857826185696946242e-01,1.004781148549667380e+00
2.900000000000000000e+01,1.451788237752784094e-01,-9.930415597584585363e-01,1.003597743261853692e+00
3.000000000000000000e+01,9.552674578735548261e-02,-9.978178970478263077e-01,1.002380124917522819e+00
3.100000000000000000e+01,4.563585093496416722e-02,-1.000099689594574626e+00,1.001140359798626367e+00
3.200000000000000000e+01,-4.369133544764564059e-03,-9.998812329173364377e-01,9.998907786694628541e-01
3.300000000000000000e+01,-5.436319519063138872e-02,-9.971630731578048357e-01,9.986438561673787184e-01
3.400000000000000000e+01,-1.042213488485216333e-01,-9.919520057153787818e-01,9.974120869523128707e-01
3.500000000000000000e+01,-1.538189491342905613e-01,-9.842610582586642787e-01,9.962078597949542980e-01
3.600000000000000000e+01,-2.030320020472237696e-01,-9.741094581563031207e-01,9.950433308780428643e-01
3.700000000000000000e+01,-2.517374749550389534e-01,-9.615225844085512064e-01,9.939302976690258529e-01
3.800000000000000000e+01,-2.998136041754665415e-01,-9.465319041997778404e-01,9.928800747908786972e-01
